date,spx,dax,ftse,nikkei
21/04/1994,448.73,2194.41,3101.24,19799.36
22/04/1994,447.63,2218.13,3133.7,19964.39
25/04/1994,452.71,2208.68,3106.1,19709.14
26/04/1994,451.87,2241.36,3125.3,19628.93
27/04/1994,451.87,2256.98,3150,19729.15
28/04/1994,449.1,2237.82,3129.9,19725.25
29/04/1994,450.91,2252.51,3125.34,19725.25
02/05/1994,453.02,2266.72,3125.34,19570.21
03/05/1994,453.03,2261.71,3100,19570.21
04/05/1994,451.72,2241.85,3070.5,19570.21
05/05/1994,451.38,2249.78,3106,19570.21
06/05/1994,447.82,2233.55,3106,19862.47
09/05/1994,442.32,2218.77,3097.8,19786.96
10/05/1994,446.01,2241.34,3136.3,19917.78
11/05/1994,441.49,2248.02,3130.5,20150.13
12/05/1994,443.75,2248.02,3137.8,20224.24
13/05/1994,444.14,2257.33,3119.2,20270.75
16/05/1994,444.49,2272.96,3115.6,20188.44
17/05/1994,449.37,2268.11,3123.51,20133.53
18/05/1994,453.69,2254.21,3116.51,20152.73
19/05/1994,456.48,2245.79,3122.81,20221.34
20/05/1994,454.92,2238.97,3127.28,20342.17
23/05/1994,453.2,2238.97,3108.4,20568.71
24/05/1994,454.81,2188.01,3089.1,20622.12
25/05/1994,456.34,2137.56,3020.7,20663.63
26/05/1994,457.06,2146,3019.7,20495.8
27/05/1994,457.33,2112.8,2966.4,20777.16
30/05/1994,457.33,2129.76,2966.4,20838.97
31/05/1994,456.5,2137.34,2970.5,20973.59
01/06/1994,457.63,2113.62,2931.9,21053.11
02/06/1994,457.65,2113.62,2980.8,21009
03/06/1994,460.13,2158.88,2997.8,20954.19
06/06/1994,458.88,2163.59,3009.4,20726.65
07/06/1994,458.21,2131.8,3004.8,21042.71
08/06/1994,457.06,2144.17,3038.2,21261.95
09/06/1994,457.86,2130.57,3028.9,21402.78
10/06/1994,458.67,2143.58,3055.9,21395.18
13/06/1994,459.1,2084.42,3016.34,21552.81
14/06/1994,462.37,2088.44,3039.63,21353.97
15/06/1994,460.61,2073.21,3045.82,21282.96
16/06/1994,461.93,2047.29,3030.08,21367.47
17/06/1994,458.45,2031.8,3022.94,21503.3
20/06/1994,455.48,1986.42,2971.1,21152.03
21/06/1994,451.34,1957.08,2940.2,20813.16
22/06/1994,453.09,2004.93,2960.4,20581.32
23/06/1994,449.63,2032.52,2942.4,21040.21
24/06/1994,442.8,2005.07,2876.6,20766.75
27/06/1994,447.31,2005.07,2899.9,20300.96
28/06/1994,446.07,2022.25,2909,20639.23
29/06/1994,447.63,2042.45,2946.3,20481
30/06/1994,444.27,2020.85,2919.2,20643.93
01/07/1994,446.2,2040.78,2936.4,20543.41
04/07/1994,446.2,2061.7,2970.44,20631.9
05/07/1994,446.37,2034.64,2965,20834.37
06/07/1994,446.13,2031.33,2946.7,20629.03
07/07/1994,448.38,2049.1,2964.4,20620.02
08/07/1994,449.55,2047.83,2962.4,20526.51
11/07/1994,448.06,2069.46,2983.8,20473.09
12/07/1994,447.95,2048.57,2963.91,20400.48
13/07/1994,448.73,2051.25,3005.32,20540.41
14/07/1994,453.41,2070.88,3050.38,20718
15/07/1994,454.16,2093.61,3074.78,20770.15
18/07/1994,455.22,2098.19,3082,20717.64
19/07/1994,453.86,2116.96,3091.3,20775.16
20/07/1994,451.6,2120.97,3077.2,20780.76
21/07/1994,452.61,2126.75,3095.13,20622.92
22/07/1994,453.11,2148.23,3114.69,20462.89
25/07/1994,454.25,2144.21,3106.15,20297.66
26/07/1994,453.36,2163.32,3117.18,20345.37
27/07/1994,452.57,2135.93,3082.34,20137.23
28/07/1994,454.23,2134.12,3095.9,20247.85
29/07/1994,458.26,2152.19,3082.6,20449.39
01/08/1994,461.01,2161.5,3097.4,20271.35
02/08/1994,460.56,2193.63,3157.5,20660.13
03/08/1994,461.45,2190.83,3160.4,20632.73
04/08/1994,458.4,2176.66,3150.5,20676.84
05/08/1994,457.09,2188.81,3167.5,20521.7
08/08/1994,457.89,2182.32,3171.9,20635.83
09/08/1994,457.93,2160.56,3168.6,20635.83
10/08/1994,460.3,2166.51,3167,20770.25
11/08/1994,458.88,2156.31,3138.2,20821.36
12/08/1994,461.94,2133.74,3142.3,20663.83
15/08/1994,461.23,2134.34,3142.2,20626.33
16/08/1994,465.01,2152.65,3147.3,20786.36
17/08/1994,465.17,2166.56,3190.3,20824.56
18/08/1994,463.17,2151.44,3182.6,20862.77
19/08/1994,463.68,2143.84,3191.4,20512.7
22/08/1994,462.32,2113.37,3171.3,20394.58
23/08/1994,464.51,2121.25,3175.1,20380.78
24/08/1994,469.03,2132.98,3205.2,20511.6
25/08/1994,468.08,2153.48,3234.2,20443.29
26/08/1994,473.8,2190.58,3265.1,20471.49
29/08/1994,474.59,2215.72,3265.1,20600.42
30/08/1994,476.07,2205.82,3249.6,20592.12
31/08/1994,475.49,2207.09,3251.3,20628.53
01/09/1994,473.17,2185.78,3216.5,20642.93
02/09/1994,470.99,2197.38,3222.68,20653.83
05/09/1994,470.99,2174.52,3241.46,20409.18
06/09/1994,471.86,2158.07,3205.43,20393.98
07/09/1994,470.96,2167.68,3203.85,20023.8
08/09/1994,473.14,2178.1,3180.01,19917.78
09/09/1994,468.18,2155.58,3139.3,19897.88
12/09/1994,466.21,2155.81,3128.8,19917.28
13/09/1994,467.51,2157.15,3121.4,20046.11
14/09/1994,468.8,2118.08,3079.8,19919.38
15/09/1994,474.81,2129.36,3112.7,19919.38
16/09/1994,471.19,2097.45,3065.1,19796.26
19/09/1994,470.85,2100.55,3079.1,19554.11
20/09/1994,463.36,2059.15,3037.3,19837.27
21/09/1994,461.46,2079.5,3014.8,19885.38
22/09/1994,461.27,2072.81,3021.2,19833.67
23/09/1994,459.67,2097.33,3028.2,19833.67
26/09/1994,460.82,2057.83,2999.83,19814.36
27/09/1994,462.05,2056.89,3008.54,19468.89
28/09/1994,464.84,2070.36,3038.7,19507.6
29/09/1994,462.24,2030.29,2992.5,19615.12
30/09/1994,462.69,2002.3,3026.3,19563.81
03/10/1994,461.74,2002.3,2983.47,19650.03
04/10/1994,454.59,1988.67,3001.76,19568.61
05/10/1994,453.52,1946.63,2956.31,19751.55
06/10/1994,452.36,1965.41,2984.37,19655.23
07/10/1994,455.1,1977.67,2998.68,19744.75
10/10/1994,459.04,2048.56,3032.3,19744.75
11/10/1994,465.79,2087.71,3073,19821.46
12/10/1994,465.47,2072.57,3100.5,20089.72
13/10/1994,467.77,2108.08,3141.9,20148.83
14/10/1994,469.1,2118.52,3106.7,19969.29
17/10/1994,468.96,2095.48,3120.2,19958.29
18/10/1994,467.66,2069.49,3085.3,19992.4
19/10/1994,470.28,2056.03,3060.8,19868.87
20/10/1994,466.85,2048.15,3063.2,19991.9
21/10/1994,464.89,2016.72,3032.8,19899.08
24/10/1994,460.83,2022.64,3029.1,19852.37
25/10/1994,461.53,1995.85,3000.9,19732.15
26/10/1994,462.62,2009.52,2999.9,19746.35
27/10/1994,465.85,2026.25,3029.6,19796.36
28/10/1994,473.77,2064.97,3083.79,19805.16
31/10/1994,472.35,2061.58,3097.42,19989.6
01/11/1994,468.42,2066.18,3096.29,19916.48
02/11/1994,466.5,2039.91,3081.34,19750.65
03/11/1994,467.91,2061.49,3104.36,19750.65
04/11/1994,462.28,2069.39,3097.61,19811.56
07/11/1994,463.07,2043.3,3065.8,19619.22
08/11/1994,465.65,2056.36,3063.8,19609.02
09/11/1994,465.4,2090.78,3099.6,19423.88
10/11/1994,464.37,2098.4,3103.5,19264.85
11/11/1994,462.35,2073.79,3075.9,19284.36
14/11/1994,466.04,2091.04,3095.3,19261.45
15/11/1994,465.03,2112.6,3135.4,19391.68
16/11/1994,465.6,2112.6,3146.5,19306.66
17/11/1994,463.56,2091.94,3127.5,19336.57
18/11/1994,461.47,2089.79,3131,19302.56
21/11/1994,458.3,2097.24,3121,19121.72
22/11/1994,450.09,2073.61,3078.7,18962.99
23/11/1994,449.93,2040.08,3027.5,18962.99
24/11/1994,449.93,2057.94,3036.6,18701.24
25/11/1994,452.29,2056.3,3033.5,18666.93
28/11/1994,454.16,2050.82,3047.1,18811.36
29/11/1994,455.17,2037.04,3061.1,18926.49
30/11/1994,453.69,2057.08,3081.4,19075.62
01/12/1994,448.92,2045.54,3039.65,19013.6
02/12/1994,453.3,2042.38,3017.34,18998.3
05/12/1994,453.32,2067.42,3033.5,19305.66
06/12/1994,453.11,2046.92,3016.1,19340.47
07/12/1994,451.23,2043.71,3012.5,19174.23
08/12/1994,445.45,2041.85,3013.8,19180.04
09/12/1994,446.96,2024.19,2977.3,18978.3
12/12/1994,449.47,2003.57,2943.4,18975.1
13/12/1994,450.15,2019.1,2946.4,18875.48
14/12/1994,454.97,2040.94,2980.6,18931.49
15/12/1994,455.34,2054.23,2973.4,19121.12
16/12/1994,458.8,2069.2,3013.6,19163.43
19/12/1994,457.91,2066.59,3034.44,19270.85
20/12/1994,457.1,2080.42,3058.1,19406.98
21/12/1994,459.61,2086.66,3070.4,19340.67
22/12/1994,459.67,2102.31,3091.7,19633.53
23/12/1994,459.83,2101.01,3083.4,19633.53
26/12/1994,459.83,2101.01,3083.4,19726.75
27/12/1994,462.47,2110.77,3083.4,19711.36
28/12/1994,460.86,2096.78,3095.81,19665.53
29/12/1994,461.16,2074.59,3065.65,19752.98
30/12/1994,459.27,2097.51,3065.54,19723.06
02/01/1995,459.27,2078.91,3065.54,19723.06
03/01/1995,459.11,2068.99,3065.7,19723.06
04/01/1995,460.71,2072.9,3051.6,19684.04
05/01/1995,460.34,2051.46,3032.3,19616.11
06/01/1995,460.68,2058.2,3065,19519.46
09/01/1995,460.83,2053.27,3055.8,19444.92
10/01/1995,461.68,2062.08,3060.4,19501.45
11/01/1995,461.66,2061.85,3049.4,19548.47
12/01/1995,461.64,2059.69,3033.2,19410.01
13/01/1995,465.97,2064.14,3048.3,19331.17
16/01/1995,469.38,2088.18,3076.7,19331.17
17/01/1995,470.05,2081.37,3054.4,19241.32
18/01/1995,469.72,2085.62,3054.9,19223.31
19/01/1995,466.95,2079.6,3028.6,19223.31
20/01/1995,464.78,2050.86,2995,18840.22
23/01/1995,465.81,2013.03,2954.18,17785.49
24/01/1995,465.86,2027.67,2968.97,18060.73
25/01/1995,467.44,2026.97,2982.18,18159.48
26/01/1995,468.32,2040.79,3007.27,18070.84
27/01/1995,470.39,2030.56,3022.2,18104.35
30/01/1995,468.51,2026.68,2995.9,18752.88
31/01/1995,470.42,2024.82,2991.6,18649.82
01/02/1995,470.4,2047.44,3017.3,18739.47
02/02/1995,472.78,2038.46,3034.7,18604.3
03/02/1995,478.64,2077.94,3059.7,18538.97
06/02/1995,481.14,2085.12,3062,18667.23
07/02/1995,480.81,2093.01,3072.7,18500.55
08/02/1995,481.19,2087.78,3072.5,18290.25
09/02/1995,480.19,2117.8,3098.97,18099.55
10/02/1995,481.46,2127.56,3109.9,18291.35
13/02/1995,481.65,2118.96,3081.1,18313.86
14/02/1995,482.55,2128.21,3071.3,18138.47
15/02/1995,484.54,2135.49,3074.9,17991
16/02/1995,485.22,2112.14,3051.1,17780.59
17/02/1995,481.97,2119.29,3044.2,18020.51
20/02/1995,481.97,2101.98,3018.6,17956.48
21/02/1995,482.74,2101.79,3023.4,18096.25
22/02/1995,485.07,2096.21,3019.5,18106.65
23/02/1995,486.91,2126.44,3049.3,17830.02
24/02/1995,488.11,2118.11,3037.67,17472.94
27/02/1995,483.81,2106.05,3025.3,16808.7
28/02/1995,487.39,2097.85,3009.3,17053.43
01/03/1995,485.65,2127.21,3041.2,16618.71
02/03/1995,485.13,2116.64,3038.2,16963.18
03/03/1995,485.42,2094.16,3025.1,17039.62
06/03/1995,485.63,2069.95,3001.9,17040.72
07/03/1995,482.12,2041.26,2976.97,16955.28
08/03/1995,483.14,2029.38,2992.1,16621.31
09/03/1995,483.16,1989.2,2986.92,16763.08
10/03/1995,489.57,2008.85,3021.1,16358.38
13/03/1995,490.05,1974.26,3011.8,16477.64
14/03/1995,492.89,2022.5,3050.6,16245.82
15/03/1995,491.88,1995.5,3047,16666.83
16/03/1995,495.41,2016.15,3094.14,16355.68
17/03/1995,495.52,1979.52,3089.33,16251.23
20/03/1995,496.15,1984.99,3124.22,16129.96
21/03/1995,495.07,1984.15,3134.96,16129.96
22/03/1995,495.67,1978.07,3139.69,15904.85
23/03/1995,495.95,1935.08,3136.4,15813.41
24/03/1995,500.97,1935.79,3153.4,15749.77
27/03/1995,503.2,1928.82,3149.8,16096.25
28/03/1995,503.9,1911.7,3128.3,16681.73
29/03/1995,503.12,1918.85,3142.3,16460.73
30/03/1995,502.22,1949.76,3176.2,16512.22
31/03/1995,500.71,1914.69,3137.9,16139.95
03/04/1995,501.85,1934.96,3143.1,15381.29
04/04/1995,505.24,1965.68,3188.1,15630.53
05/04/1995,505.57,1972.59,3190.15,15882.49
06/04/1995,506.08,1976.52,3200.85,15815.87
07/04/1995,506.42,1978.71,3210.9,15719.5
10/04/1995,507.01,1980.81,3204.2,16163.09
11/04/1995,505.53,1979.26,3190.9,16268.88
12/04/1995,507.17,1991.08,3209.8,16344.92
13/04/1995,509.23,1983.89,3208.8,16437.79
14/04/1995,509.23,1983.89,3208.8,16047.89
17/04/1995,506.13,1983.89,3208.8,16304.15
18/04/1995,505.37,1954.62,3194.51,16225.11
19/04/1995,504.92,1943.88,3170.1,16376.08
20/04/1995,505.29,1955.33,3174.7,16643.06
21/04/1995,508.49,1987.7,3199.9,16968.24
24/04/1995,512.89,1978.97,3209.3,16804.05
25/04/1995,512.1,2007.57,3214.9,16910.54
26/04/1995,512.66,2028.52,3226.2,16826.49
27/04/1995,513.55,2024.25,3217.6,16883.99
28/04/1995,514.71,2017.95,3216.7,16806.75
01/05/1995,514.26,2017.95,3220.38,16811.46
02/05/1995,514.86,2036.47,3248.21,17088.66
03/05/1995,520.48,2037.99,3262.61,17088.66
04/05/1995,520.54,2034.15,3264.33,17088.66
05/05/1995,520.12,2021.22,3251.7,17088.66
08/05/1995,523.96,2030.5,3251.7,17103.69
09/05/1995,523.56,2050.03,3261.2,16958.22
10/05/1995,524.36,2062.19,3290.1,16826.49
11/05/1995,524.37,2080.43,3317.9,16461.73
12/05/1995,525.55,2102.4,3310.3,16420.76
15/05/1995,527.74,2092,3310.7,16609.7
16/05/1995,528.19,2109.36,3300.8,16391.91
17/05/1995,527.07,2088.99,3297.4,16471.35
18/05/1995,519.58,2083.8,3285.8,16312.56
19/05/1995,519.19,2064.2,3261,16140.85
22/05/1995,523.65,2096.87,3284.47,15789.12
23/05/1995,528.59,2083.59,3291.78,15916.15
24/05/1995,528.61,2105.88,3327.28,15970.75
25/05/1995,528.59,2105.88,3328.2,15579.44
26/05/1995,523.65,2065.71,3311.09,15694.25
29/05/1995,523.65,2069.26,3311.09,15574.03
30/05/1995,523.58,2081.06,3309.9,15762.97
31/05/1995,533.4,2100.1,3319.35,15436.79
01/06/1995,533.49,2118.91,3340.6,15594.57
02/06/1995,532.51,2133.28,3345,15849.13
05/06/1995,535.6,2133.28,3376.6,15897.32
06/06/1995,535.55,2153.76,3380,15660.99
07/06/1995,533.13,2136.55,3370.8,15679.62
08/06/1995,532.35,2137.21,3380.8,15442
09/06/1995,527.94,2106.99,3337.7,15044.18
12/06/1995,530.88,2127.79,3344.63,14813.46
13/06/1995,536.05,2124.25,3347.99,14599.68
14/06/1995,536.47,2124.84,3339.8,14660.49
15/06/1995,537.12,2130.78,3370.4,14867.26
16/06/1995,539.83,2125.06,3366.11,14705.17
19/06/1995,545.22,2154.13,3381.3,14700.06
20/06/1995,544.98,2140.36,3377.2,14665.7
21/06/1995,543.98,2144.88,3378.3,14951.21
22/06/1995,551.07,2162.39,3403.8,14933.08
23/06/1995,549.71,2138.22,3379.4,15265.18
26/06/1995,544.13,2137.36,3309.2,15145.36
27/06/1995,542.43,2128.99,3313.2,14759.05
28/06/1995,544.73,2091.3,3282.7,14618.07
29/06/1995,543.87,2094.68,3294,14507.17
30/06/1995,544.75,2089.04,3314.6,14517.4
03/07/1995,547.09,2099.68,3323.65,14485.41
04/07/1995,547.09,2110.13,3349.2,14755.74
05/07/1995,547.26,2117.63,3394.9,14830.44
06/07/1995,553.99,2111.35,3388.3,15256.89
07/07/1995,556.37,2163.37,3462.9,16214.68
10/07/1995,557.19,2184.39,3455,16242.66
11/07/1995,554.78,2194.15,3464,16588.19
12/07/1995,560.89,2200.32,3450.6,16605.74
13/07/1995,561,2193.72,3447.16,16505.67
14/07/1995,559.89,2191.25,3429.18,16517.7
17/07/1995,562.72,2201.36,3442.6,16842.47
18/07/1995,558.46,2183.71,3420.7,16574.35
19/07/1995,550.98,2195.31,3405.3,16422.44
20/07/1995,553.54,2183.52,3400.4,16453.42
21/07/1995,553.62,2196.54,3413.1,16589.09
24/07/1995,556.63,2196.54,3431.6,16591.5
25/07/1995,561.1,2232.23,3432.9,16148.4
26/07/1995,561.61,2237.73,3454.3,16387.25
27/07/1995,565.22,2239.36,3458.3,16625.19
28/07/1995,562.93,2217.91,3468.9,16649.45
31/07/1995,562.06,2222.51,3463.3,16677.53
01/08/1995,559.64,2211.26,3449.9,16358.57
02/08/1995,558.8,2249.6,3499.9,16720.75
03/08/1995,558.75,2234.86,3475.6,16893.71
04/08/1995,558.94,2236.68,3482.4,16741.2
07/08/1995,560.03,2244.56,3483.5,16615.46
08/08/1995,560.39,2236.89,3468.8,16838.97
09/08/1995,559.71,2222.28,3468.3,16789.33
10/08/1995,557.45,2236.72,3474.7,16728.97
11/08/1995,555.11,2228.44,3467.5,16792.34
14/08/1995,559.74,2211.03,3441.36,16916.57
15/08/1995,558.57,2236.73,3444.36,17452.72
16/08/1995,559.97,2251.64,3465.06,18158.73
17/08/1995,559.04,2253.93,3470.56,18149.7
18/08/1995,559.21,2265.86,3509.8,18032.49
21/08/1995,558.11,2269.6,3535.7,17871.05
22/08/1995,559.52,2258.97,3530.2,17877.77
23/08/1995,557.14,2262.66,3515.9,17731.98
24/08/1995,557.46,2253.91,3519.96,17921.99
25/08/1995,560.1,2257.34,3524.93,17770.68
28/08/1995,559.05,2240.31,3524.93,17847.29
29/08/1995,560,2230.27,3502.6,18135.16
30/08/1995,560.92,2251.3,3504,17983.86
31/08/1995,561.88,2234.23,3477.8,18117.22
01/09/1995,563.84,2242.76,3509.4,18120.73
04/09/1995,563.84,2263.08,3522.7,17748.52
05/09/1995,569.17,2266.57,3532.4,17794.04
06/09/1995,570.17,2266.37,3557.7,17620.38
07/09/1995,570.29,2269.01,3545.6,17621.18
08/09/1995,572.68,2266.77,3554.5,18279.55
11/09/1995,573.91,2268.26,3549.3,18486.11
12/09/1995,576.51,2266.07,3535.9,18472.17
13/09/1995,578.77,2300.72,3570.78,18614.26
14/09/1995,583.61,2300.29,3565.4,18758.55
15/09/1995,583.35,2305.58,3564.58,18758.55
18/09/1995,582.77,2289.49,3533.3,18319.16
19/09/1995,584.2,2306.66,3541.4,18474.38
20/09/1995,586.77,2394.15,3561.5,18198.64
21/09/1995,583,2275.72,3557.9,18034.79
22/09/1995,581.73,2204.44,3514.8,17713.93
25/09/1995,581.81,2217.1,3506.98,17566.43
26/09/1995,581.41,2232.02,3523.3,17921.98
27/09/1995,581.04,2190.9,3484.96,18262.43
28/09/1995,585.87,2184.24,3478.95,18022.86
29/09/1995,584.41,2200.65,3508.25,17913.06
02/10/1995,581.72,2197.01,3520.2,17739.84
03/10/1995,582.34,2197.01,3524.2,18142.99
04/10/1995,581.47,2211.88,3544.1,18145.08
05/10/1995,582.63,2189.82,3544.4,18220.41
06/10/1995,582.49,2173.45,3526.5,18506.28
09/10/1995,578.37,2157.41,3510.3,18176.27
10/10/1995,577.52,2136.77,3460.1,18176.27
11/10/1995,579.46,2153.56,3474.3,17891.19
12/10/1995,583.1,2159.73,3523.8,17971.4
13/10/1995,584.5,2206.11,3568,17880.83
16/10/1995,583.03,2194.06,3557.26,18016.44
17/10/1995,586.78,2185.52,3562.18,17916.6
18/10/1995,587.44,2197.57,3593,17895.97
19/10/1995,590.65,2176.09,3578.6,17955.36
20/10/1995,587.46,2148.12,3551.4,18157.33
23/10/1995,585.06,2116.86,3531.5,18156.24
24/10/1995,586.54,2114.88,3535.3,18014.25
25/10/1995,582.47,2140.74,3537.8,17970.81
26/10/1995,576.72,2142.74,3519.6,17726.68
27/10/1995,579.7,2112.01,3497.9,17337.19
30/10/1995,583.25,2149.71,3510,17509.17
31/10/1995,581.5,2165.76,3529.1,17654.64
01/11/1995,584.22,2182.11,3518.7,17474.49
02/11/1995,589.72,2181.49,3523,18028.8
03/11/1995,590.57,2169.69,3500.4,18028.8
06/11/1995,588.46,2168.57,3514.84,18036.97
07/11/1995,586.32,2174.27,3522.4,18021.22
08/11/1995,591.71,2184.05,3537.1,17863.29
09/11/1995,593.26,2182.47,3541.64,17821.04
10/11/1995,592.72,2174.78,3523.42,17843.56
13/11/1995,592.3,2195.15,3536.82,17789.46
14/11/1995,589.29,2197.34,3547.94,17802.51
15/11/1995,593.96,2196.64,3571.43,17682.74
16/11/1995,597.34,2202.5,3610.8,17939.52
17/11/1995,600.07,2196.59,3609.18,18151.16
20/11/1995,596.85,2204.01,3628.76,18383.82
21/11/1995,600.24,2201.9,3604.07,18384.32
22/11/1995,598.4,2194.53,3632.4,18239.84
23/11/1995,598.4,2197.26,3602.5,18239.84
24/11/1995,599.97,2210.92,3624,18215.23
27/11/1995,601.32,2247.97,3648.99,18543.14
28/11/1995,606.45,2242.91,3648.85,18688.42
29/11/1995,607.64,2249.75,3655.52,18533.98
30/11/1995,605.37,2254.95,3664.32,18744.42
01/12/1995,606.98,2266.56,3680.41,18833.1
04/12/1995,613.68,2261.08,3669.7,18897.37
05/12/1995,617.68,2265.21,3664.25,18879.53
06/12/1995,620.18,2274.94,3662.77,19067.86
07/12/1995,616.17,2260.62,3639.49,19412.32
08/12/1995,617.48,2277.7,3630,19286.97
11/12/1995,619.52,2280.39,3652.1,19226.78
12/12/1995,618.78,2278.64,3654.9,19312.77
13/12/1995,621.69,2283.26,3662.4,19283.48
14/12/1995,616.92,2286.21,3671.6,19499.3
15/12/1995,616.34,2283.84,3642.6,19346.55
18/12/1995,606.81,2240.24,3596.07,19311.08
19/12/1995,611.93,2239.76,3576.9,19140.49
20/12/1995,605.94,2268.07,3613.69,19448.59
21/12/1995,610.49,2268.35,3633.3,19653.25
22/12/1995,611.96,2279.92,3658.34,19744.42
25/12/1995,611.96,2279.92,3658.34,19775.41
26/12/1995,614.3,2279.92,3658.34,19904.72
27/12/1995,614.53,2280.44,3676.4,20011.76
28/12/1995,614.12,2273.9,3676.7,19873.13
29/12/1995,615.93,2260.69,3689.3,19868.15
01/01/1996,615.93,2260.69,3689.3,19868.15
02/01/1996,620.73,2307.7,3687.9,19868.15
03/01/1996,621.32,2326.18,3715.6,19868.15
04/01/1996,617.7,2332.81,3714.1,20618
05/01/1996,616.71,2315.66,3704.5,20669.03
08/01/1996,618.46,2336.76,3720.64,20563.58
09/01/1996,609.45,2351.47,3700.3,20652.08
10/01/1996,598.48,2340.31,3671.45,20612.32
11/01/1996,602.69,2330.98,3654.9,20377.92
12/01/1996,601.81,2353.89,3657.3,20287.42
15/01/1996,599.82,2361.38,3662.7,20287.42
16/01/1996,608.44,2361.38,3710.6,20567.07
17/01/1996,606.37,2375.63,3704.21,20570.26
18/01/1996,608.24,2389.62,3748.66,20370
19/01/1996,611.83,2400.58,3748.45,20365.7
22/01/1996,613.4,2391.74,3754.2,20196.53
23/01/1996,612.79,2393.12,3734.95,20080.92
24/01/1996,619.96,2436.68,3758.2,20312.7
25/01/1996,617.03,2437.02,3734.2,20414.6
26/01/1996,621.62,2449.71,3734.7,20663.8
29/01/1996,624.22,2437.7,3734.63,20589.2
30/01/1996,630.15,2456.09,3735.3,20722.4
31/01/1996,636.02,2463,3759.3,20812.7
01/02/1996,638.46,2472.53,3752.8,20935.12
