Date,gold,silver,plat,pall
2001/06/01,267.05,4.42,595.5,640
2001/07/01,269.55,4.29,555.5,598
2001/08/01,267.55,4.24,465.6,455
2001/09/01,273.5,4.19,442.5,457
2001/10/01,291.7,4.64,421.5,320
2001/11/01,279.65,4.22,419,317.5
2001/12/01,277.25,4.24,455.5,355
2002/01/01,278.95,4.62,477.5,440
2002/02/01,286.25,4.31,453.5,370
2002/03/01,298.15,4.53,498.5,372
2002/04/01,303.35,4.68,521.5,387
2002/05/01,308.75,4.56,522.5,352
2002/06/01,327.65,5.08,547.5,350.5
2002/07/01,315.15,4.872,531.6,319
2002/08/01,304.65,4.58,531.6,320
2002/09/01,312.25,4.47,563,325
2002/10/01,320.35,4.485,567.6,320.5
2002/11/01,319.75,4.505,582.1,311.75
2002/12/01,317.85,4.4426,591.4,264.05
2003/01/01,348.05,4.78,599.9,238
2003/02/01,371.05,4.84,703,269
2003/03/01,349.05,4.66,683.5,237.5
2003/04/01,334.95,4.43,639,179
2003/05/01,341.75,4.76,606,154.5
2003/06/01,365.85,4.5,643.5,186.5
2003/07/01,350.75,4.5748,673.5,186.5
2003/08/01,346.15,5.092,679.5,183.5
2003/09/01,375.55,5.15,709.5,202
2003/10/01,384.75,5.095,712.5,213.5
2003/11/01,376.65,4.92,741.5,210
2003/12/01,402.25,5.46,771.5,189.5
2004/01/01,415.85,5.94,813.5,193.5
2004/02/01,398.35,6.035,817.5,225.5
2004/03/01,399.55,6.93,902.5,242.5
2004/04/01,425.9,8.13,914.5,294.5
2004/05/01,387.15,6.01,812.75,262.5
2004/06/01,394.65,6.055,844.5,252
2004/07/01,395.95,5.93,784.5,215.5
2004/08/01,392.15,6.58,827.5,217.5
2004/09/01,408.85,6.775,869.5,214.5
2004/10/01,419.47,6.915,859.5,221.5
2004/11/01,427.55,7.285,834,209
2004/12/01,454.75,8.015,877.75,211
2005/01/01,429.55,6.485,855,184.5
2005/02/01,421.13,6.72,876,190
2005/03/01,432.6,7.22,863.5,183
2005/04/01,426.25,7.005,861.5,200
2005/05/01,429.8,6.835,869.5,195
2005/06/01,415.4,7.465,869.5,183
2005/07/01,427.4,6.8675,870.5,180.5
2005/08/01,432.2,7.27,906.5,193.5
2005/09/01,443.25,6.98,899,184
2005/10/01,465.95,7.395,925.5,193.5
2005/11/01,459.15,7.445,925.5,221.5
2005/12/01,503.9,8.51,989.75,262.5
2006/01/01,516.88,8.87,966.5,254
2006/02/01,569.35,9.765,1071.5,293.5
2006/03/01,562.95,9.745,1048.5,296.5
2006/04/01,587.85,11.735,1076.5,343.5
2006/05/01,655.1,13.84,1168.5,382
2006/06/01,629.6,12.04,1226.5,337.5
2006/07/01,623.5,11.33,1243.5,325.5
2006/08/01,646.85,11.76,1244.5,317
2006/09/01,625.45,12.945,1245.5,344.5
2006/10/01,596.7,11.495,1147.5,311.5
2006/11/01,617.6,12.46,1105.5,325
2006/12/01,645.6,14.015,1163,331
2007/01/01,636.8,12.925,1134.5,325.5
2007/02/01,657.2,13.645,1183.5,341.5
2007/03/01,664.45,13.625,1238,350.5
2007/04/01,664,13.285,1238.5,350.5
2007/05/01,673.45,13.255,1291,370.5
2007/06/01,671.75,13.69,1291.5,371
2007/07/01,657.25,12.625,1280.5,368.5
2007/08/01,666.9,12.985,1285,362.9
2007/09/01,672.3,12.12,1268.25,330.5
2007/10/01,747.2,13.715,1390.2,357.5
2007/11/01,787.3,14.105,1448,371.5
2007/12/01,794.3,14.165,1461,348.5
2008/01/01,833.7,14.795,1526,369.5
2008/02/01,905.3,16.785,1771,412
2008/03/01,983.7,20.33,2232.5,578
2008/04/01,882.7,16.825,1915,437.5
2008/05/01,852.7,16.19,1866,408.5
2008/06/01,891.4,16.83,2006,435
2008/07/01,939.65,18.12,2079,468
2008/08/01,910.95,17.48,1656.5,368
2008/09/01,817.68,13.445,1445,301
2008/10/01,870.87,12.56,1036,206.5
2008/11/01,723.55,9.84,820,200.5
2008/12/01,768.95,9.28,800.5,175
2009/01/01,881.45,11.4,934.5,187
2009/02/01,905,12.435,972,196
2009/03/01,926,12.9375,1058,193
2009/04/01,927.4,13.0675,1138.5,220.5
2009/05/01,886.55,12.52,1093,216.25
2009/06/01,975.05,15.6,1213,241
2009/07/01,940.8,13.76,1202.5,254
2009/08/01,956.8,14.27,1238,272.5
2009/09/01,956.47,15.03,1228.5,288.5
2009/10/01,999.15,16.355,1280,290
2009/11/01,1059.5,16.4512,1336,324
2009/12/01,1196.51,19.105,1481,382.5
2010/01/01,1097.35,16.895,1457.7,407.55
2010/02/01,1105.55,16.67,1550.25,431.75
2010/03/01,1118.85,16.46,1549,436
2010/04/01,1126.78,17.93,1669.5,491
2010/05/01,1182.23,18.795,1723,541
2010/06/01,1225.78,18.4375,1547,457
2010/07/01,1198.69,17.785,1503,433
2010/08/01,1182.75,18.37,1601,511.5
2010/09/01,1244.3,19.3613,1533.5,518
2010/10/01,1319.03,22.105,1679.5,574
2010/11/01,1353.83,24.695,1709.5,651
2010/12/01,1387.9,28.45,1687.5,733.5
2011/01/01,1414.8,30.7075,1768.5,794
2011/02/01,1341.4,28.535,1828.5,822
2011/03/01,1433.38,34.6888,1842,817.5
2011/04/01,1428.73,37.8125,1765,774
2011/05/01,1545.45,43.805,1859.28,772.43
2011/06/01,1539.83,36.855,1818.45,771.25
2011/07/01,1487.43,33.87,1719.5,758.5
2011/08/01,1619.38,39.2975,1790.55,829.75
2011/09/01,1826.1,41.5638,1849.1,783.56
2011/10/01,1658.3,30.41,1508.75,584.5
2011/11/01,1719.55,33.3425,1590,634.58
2011/12/01,1744.8,32.7525,1560.5,631
2012/01/01,1566.37,27.8625,1394.5,653.49
2012/02/01,1743.53,33.7088,1618,697.55
2012/03/01,1718.25,35.485,1700.25,716.6
2012/04/01,1677.75,32.98,1650.88,656.19
2012/05/01,1662.4,30.975,1571.88,680.29
2012/06/01,1624,28.5275,1445,613.25
2012/07/01,1597.01,27.4925,1455.78,575.25
2012/08/01,1599.58,27.425,1398.4,582.81
2012/09/01,1692.33,32.115,1551.55,631.38
2012/10/01,1775.43,34.66,1679.2,644.85
2012/11/01,1714.2,32.2575,1571.03,612.45
2012/12/01,1715.96,33.66,1605.85,690
2013/01/01,1675.92,30.305,1538,704.1
