year,month,decimal_date,average,interpolated
1971,1,1971.042,326.17,326.17
1971,2,1971.125,326.68,326.68
1971,3,1971.208,327.18,327.18
1971,4,1971.292,327.78,327.78
1971,5,1971.375,328.92,328.92
1971,6,1971.458,328.57,328.57
1971,7,1971.542,327.34,327.34
1971,8,1971.625,325.46,325.46
1971,9,1971.708,323.36,323.36
1971,10,1971.792,323.57,323.57
1971,11,1971.875,324.80,324.80
1971,12,1971.958,326.01,326.01
1972,1,1972.042,326.77,326.77
1972,2,1972.125,327.63,327.63
1972,3,1972.208,327.75,327.75
1972,4,1972.292,329.72,329.72
1972,5,1972.375,330.07,330.07
1972,6,1972.458,329.09,329.09
1972,7,1972.542,328.05,328.05
1972,8,1972.625,326.32,326.32
1972,9,1972.708,324.93,324.93
1972,10,1972.792,325.06,325.06
1972,11,1972.875,326.50,326.50
1972,12,1972.958,327.55,327.55
1973,1,1973.042,328.54,328.54
1973,2,1973.125,329.56,329.56
1973,3,1973.208,330.30,330.30
1973,4,1973.292,331.50,331.50
1973,5,1973.375,332.48,332.48
1973,6,1973.458,332.07,332.07
1973,7,1973.542,330.87,330.87
1973,8,1973.625,329.31,329.31
1973,9,1973.708,327.51,327.51
1973,10,1973.792,327.18,327.18
1973,11,1973.875,328.16,328.16
1973,12,1973.958,328.64,328.64
1974,1,1974.042,329.35,329.35
1974,2,1974.125,330.71,330.71
1974,3,1974.208,331.48,331.48
1974,4,1974.292,332.65,332.65
1974,5,1974.375,333.20,333.20
1974,6,1974.458,332.16,332.16
1974,7,1974.542,331.07,331.07
1974,8,1974.625,329.12,329.12
1974,9,1974.708,327.32,327.32
1974,10,1974.792,327.28,327.28
1974,11,1974.875,328.30,328.30
1974,12,1974.958,329.58,329.58
1975,1,1975.042,330.73,330.73
1975,2,1975.125,331.46,331.46
1975,3,1975.208,331.90,331.90
1975,4,1975.292,333.17,333.17
1975,5,1975.375,333.94,333.94
1975,6,1975.458,333.45,333.45
1975,7,1975.542,331.98,331.98
1975,8,1975.625,329.95,329.95
1975,9,1975.708,328.50,328.50
1975,10,1975.792,328.34,328.34
1975,11,1975.875,329.37,329.37
1975,12,1975.958,,330.59
1976,1,1976.042,331.59,331.59
1976,2,1976.125,332.75,332.75
1976,3,1976.208,333.52,333.52
1976,4,1976.292,334.64,334.64
1976,5,1976.375,334.77,334.77
1976,6,1976.458,334.00,334.00
1976,7,1976.542,333.06,333.06
1976,8,1976.625,330.68,330.68
1976,9,1976.708,328.95,328.95
1976,10,1976.792,328.75,328.75
1976,11,1976.875,330.15,330.15
1976,12,1976.958,331.63,331.63
1977,1,1977.042,332.66,332.66
1977,2,1977.125,333.13,333.13
1977,3,1977.208,334.95,334.95
1977,4,1977.292,336.13,336.13
1977,5,1977.375,336.93,336.93
1977,6,1977.458,336.17,336.17
1977,7,1977.542,334.88,334.88
1977,8,1977.625,332.56,332.56
1977,9,1977.708,331.29,331.29
1977,10,1977.792,331.27,331.27
1977,11,1977.875,332.41,332.41
1977,12,1977.958,333.60,333.60
1978,1,1978.042,334.95,334.95
1978,2,1978.125,335.25,335.25
1978,3,1978.208,336.66,336.66
1978,4,1978.292,337.69,337.69
1978,5,1978.375,338.03,338.03
1978,6,1978.458,338.01,338.01
1978,7,1978.542,336.41,336.41
1978,8,1978.625,334.41,334.41
1978,9,1978.708,332.37,332.37
1978,10,1978.792,332.41,332.41
1978,11,1978.875,333.75,333.75
1978,12,1978.958,334.90,334.90
1979,1,1979.042,336.14,336.14
1979,2,1979.125,336.69,336.69
1979,3,1979.208,338.27,338.27
1979,4,1979.292,338.95,338.95
1979,5,1979.375,339.21,339.21
1979,6,1979.458,339.26,339.26
1979,7,1979.542,337.54,337.54
1979,8,1979.625,335.75,335.75
1979,9,1979.708,333.98,333.98
1979,10,1979.792,334.19,334.19
1979,11,1979.875,335.31,335.31
1979,12,1979.958,336.81,336.81
1980,1,1980.042,337.90,337.90
1980,2,1980.125,338.34,338.34
1980,3,1980.208,340.01,340.01
1980,4,1980.292,340.93,340.93
1980,5,1980.375,341.48,341.48
1980,6,1980.458,341.33,341.33
1980,7,1980.542,339.40,339.40
1980,8,1980.625,337.70,337.70
1980,9,1980.708,336.19,336.19
1980,10,1980.792,336.15,336.15
1980,11,1980.875,337.27,337.27
1980,12,1980.958,338.32,338.32
1981,1,1981.042,339.29,339.29
1981,2,1981.125,340.55,340.55
1981,3,1981.208,341.61,341.61
1981,4,1981.292,342.53,342.53
1981,5,1981.375,343.03,343.03
1981,6,1981.458,342.54,342.54
1981,7,1981.542,340.78,340.78
1981,8,1981.625,338.44,338.44
1981,9,1981.708,336.95,336.95
1981,10,1981.792,337.08,337.08
1981,11,1981.875,338.58,338.58
1981,12,1981.958,339.88,339.88
1982,1,1982.042,340.96,340.96
1982,2,1982.125,341.73,341.73
1982,3,1982.208,342.81,342.81
1982,4,1982.292,343.97,343.97
1982,5,1982.375,344.63,344.63
1982,6,1982.458,343.79,343.79
1982,7,1982.542,342.32,342.32
1982,8,1982.625,340.09,340.09
1982,9,1982.708,338.28,338.28
1982,10,1982.792,338.29,338.29
1982,11,1982.875,339.60,339.60
1982,12,1982.958,340.90,340.90
1983,1,1983.042,341.68,341.68
1983,2,1983.125,342.90,342.90
1983,3,1983.208,343.33,343.33
1983,4,1983.292,345.25,345.25
1983,5,1983.375,346.03,346.03
1983,6,1983.458,345.63,345.63
1983,7,1983.542,344.19,344.19
1983,8,1983.625,342.27,342.27
1983,9,1983.708,340.35,340.35
1983,10,1983.792,340.38,340.38
1983,11,1983.875,341.59,341.59
1983,12,1983.958,343.06,343.06
1984,1,1984.042,344.10,344.10
1984,2,1984.125,344.79,344.79
1984,3,1984.208,345.52,345.52
1984,4,1984.292,,346.84
1984,5,1984.375,347.63,347.63
1984,6,1984.458,346.98,346.98
1984,7,1984.542,345.53,345.53
1984,8,1984.625,343.55,343.55
1984,9,1984.708,341.40,341.40
1984,10,1984.792,341.67,341.67
1984,11,1984.875,343.10,343.10
1984,12,1984.958,344.70,344.70
1985,1,1985.042,345.21,345.21
1985,2,1985.125,346.16,346.16
1985,3,1985.208,347.74,347.74
1985,4,1985.292,348.34,348.34
1985,5,1985.375,349.06,349.06
1985,6,1985.458,348.38,348.38
1985,7,1985.542,346.72,346.72
1985,8,1985.625,345.02,345.02
1985,9,1985.708,343.27,343.27
1985,10,1985.792,343.13,343.13
1985,11,1985.875,344.49,344.49
1985,12,1985.958,345.89,345.89
1986,1,1986.042,346.56,346.56
1986,2,1986.125,347.28,347.28
1986,3,1986.208,348.01,348.01
1986,4,1986.292,349.77,349.77
1986,5,1986.375,350.38,350.38
1986,6,1986.458,349.93,349.93
1986,7,1986.542,348.16,348.16
1986,8,1986.625,346.08,346.08
1986,9,1986.708,345.22,345.22
1986,10,1986.792,344.51,344.51
1986,11,1986.875,345.93,345.93
1986,12,1986.958,347.21,347.21
1987,1,1987.042,348.52,348.52
1987,2,1987.125,348.73,348.73
1987,3,1987.208,349.73,349.73
1987,4,1987.292,351.31,351.31
1987,5,1987.375,352.09,352.09
1987,6,1987.458,351.53,351.53
1987,7,1987.542,350.11,350.11
1987,8,1987.625,348.08,348.08
1987,9,1987.708,346.52,346.52
1987,10,1987.792,346.59,346.59
1987,11,1987.875,347.96,347.96
1987,12,1987.958,349.16,349.16
1988,1,1988.042,350.39,350.39
1988,2,1988.125,351.64,351.64
1988,3,1988.208,352.41,352.41
1988,4,1988.292,353.69,353.69
1988,5,1988.375,354.21,354.21
1988,6,1988.458,353.72,353.72
1988,7,1988.542,352.69,352.69
1988,8,1988.625,350.40,350.40
1988,9,1988.708,348.92,348.92
1988,10,1988.792,349.13,349.13
1988,11,1988.875,350.20,350.20
1988,12,1988.958,351.41,351.41
1989,1,1989.042,352.91,352.91
1989,2,1989.125,353.27,353.27
1989,3,1989.208,353.96,353.96
1989,4,1989.292,355.64,355.64
1989,5,1989.375,355.86,355.86
1989,6,1989.458,355.37,355.37
1989,7,1989.542,353.99,353.99
1989,8,1989.625,351.81,351.81
1989,9,1989.708,350.05,350.05
1989,10,1989.792,350.25,350.25
1989,11,1989.875,351.49,351.49
1989,12,1989.958,352.85,352.85
1990,1,1990.042,353.80,353.80
1990,2,1990.125,355.04,355.04
1990,3,1990.208,355.73,355.73
1990,4,1990.292,356.32,356.32
1990,5,1990.375,357.32,357.32
1990,6,1990.458,356.34,356.34
1990,7,1990.542,354.84,354.84
1990,8,1990.625,353.01,353.01
1990,9,1990.708,351.31,351.31
1990,10,1990.792,351.62,351.62
1990,11,1990.875,353.07,353.07
1990,12,1990.958,354.33,354.33
1991,1,1991.042,354.84,354.84
1991,2,1991.125,355.73,355.73
1991,3,1991.208,357.23,357.23
1991,4,1991.292,358.66,358.66
1991,5,1991.375,359.13,359.13
1991,6,1991.458,358.13,358.13
1991,7,1991.542,356.19,356.19
1991,8,1991.625,353.85,353.85
1991,9,1991.708,352.25,352.25
1991,10,1991.792,352.35,352.35
1991,11,1991.875,353.81,353.81
1991,12,1991.958,355.12,355.12
1992,1,1992.042,356.25,356.25
1992,2,1992.125,357.11,357.11
1992,3,1992.208,357.86,357.86
1992,4,1992.292,359.09,359.09
1992,5,1992.375,359.59,359.59
1992,6,1992.458,359.33,359.33
1992,7,1992.542,357.01,357.01
1992,8,1992.625,354.94,354.94
1992,9,1992.708,352.96,352.96
1992,10,1992.792,353.32,353.32
1992,11,1992.875,354.32,354.32
1992,12,1992.958,355.57,355.57
1993,1,1993.042,357.00,357.00
1993,2,1993.125,357.31,357.31
1993,3,1993.208,358.47,358.47
1993,4,1993.292,359.27,359.27
1993,5,1993.375,360.19,360.19
1993,6,1993.458,359.52,359.52
1993,7,1993.542,357.33,357.33
1993,8,1993.625,355.64,355.64
1993,9,1993.708,354.03,354.03
1993,10,1993.792,354.12,354.12
1993,11,1993.875,355.41,355.41
1993,12,1993.958,356.91,356.91
1994,1,1994.042,358.24,358.24
1994,2,1994.125,358.92,358.92
1994,3,1994.208,359.99,359.99
1994,4,1994.292,361.23,361.23
1994,5,1994.375,361.65,361.65
1994,6,1994.458,360.81,360.81
1994,7,1994.542,359.38,359.38
1994,8,1994.625,357.46,357.46
1994,9,1994.708,355.73,355.73
1994,10,1994.792,356.08,356.08
1994,11,1994.875,357.53,357.53
1994,12,1994.958,358.98,358.98
1995,1,1995.042,359.92,359.92
1995,2,1995.125,360.86,360.86
1995,3,1995.208,361.83,361.83
1995,4,1995.292,363.30,363.30
1995,5,1995.375,363.69,363.69
1995,6,1995.458,363.19,363.19
1995,7,1995.542,361.64,361.64
1995,8,1995.625,359.12,359.12
1995,9,1995.708,358.17,358.17
1995,10,1995.792,357.99,357.99
1995,11,1995.875,359.45,359.45
1995,12,1995.958,360.68,360.68
1996,1,1996.042,362.07,362.07
1996,2,1996.125,363.24,363.24
1996,3,1996.208,364.17,364.17
1996,4,1996.292,364.57,364.57
1996,5,1996.375,365.13,365.13
1996,6,1996.458,364.92,364.92
1996,7,1996.542,363.55,363.55
1996,8,1996.625,361.38,361.38
1996,9,1996.708,359.54,359.54
1996,10,1996.792,359.58,359.58
1996,11,1996.875,360.89,360.89
1996,12,1996.958,362.25,362.25
1997,1,1997.042,363.09,363.09
1997,2,1997.125,364.03,364.03
1997,3,1997.208,364.51,364.51
1997,4,1997.292,366.35,366.35
1997,5,1997.375,366.64,366.64
1997,6,1997.458,365.59,365.59
1997,7,1997.542,364.31,364.31
1997,8,1997.625,362.25,362.25
1997,9,1997.708,360.29,360.29
1997,10,1997.792,360.82,360.82
1997,11,1997.875,362.49,362.49
1997,12,1997.958,364.38,364.38
1998,1,1998.042,365.26,365.26
1998,2,1998.125,365.98,365.98
1998,3,1998.208,367.24,367.24
1998,4,1998.292,368.66,368.66
1998,5,1998.375,369.42,369.42
1998,6,1998.458,368.99,368.99
1998,7,1998.542,367.82,367.82
1998,8,1998.625,365.95,365.95
1998,9,1998.708,364.02,364.02
1998,10,1998.792,364.40,364.40
1998,11,1998.875,365.52,365.52
1998,12,1998.958,367.13,367.13
1999,1,1999.042,368.18,368.18
1999,2,1999.125,369.07,369.07
1999,3,1999.208,369.68,369.68
1999,4,1999.292,370.99,370.99
1999,5,1999.375,370.96,370.96
1999,6,1999.458,370.30,370.30
1999,7,1999.542,369.45,369.45
1999,8,1999.625,366.90,366.90
1999,9,1999.708,364.81,364.81
1999,10,1999.792,365.37,365.37
1999,11,1999.875,366.72,366.72
1999,12,1999.958,368.10,368.10
2000,1,2000.042,369.29,369.29
2000,2,2000.125,369.54,369.54
2000,3,2000.208,370.60,370.60
2000,4,2000.292,371.82,371.82
2000,5,2000.375,371.58,371.58
2000,6,2000.458,371.70,371.70
2000,7,2000.542,369.86,369.86
2000,8,2000.625,368.13,368.13
2000,9,2000.708,367.00,367.00
2000,10,2000.792,367.03,367.03
2000,11,2000.875,368.37,368.37
2000,12,2000.958,369.67,369.67
2001,1,2001.042,370.59,370.59
2001,2,2001.125,371.51,371.51
2001,3,2001.208,372.43,372.43
2001,4,2001.292,373.37,373.37
2001,5,2001.375,373.85,373.85
2001,6,2001.458,373.21,373.21
2001,7,2001.542,371.51,371.51
2001,8,2001.625,369.61,369.61
2001,9,2001.708,368.18,368.18
2001,10,2001.792,368.45,368.45
2001,11,2001.875,369.76,369.76
2001,12,2001.958,371.24,371.24
2002,1,2002.042,372.53,372.53
2002,2,2002.125,373.20,373.20
2002,3,2002.208,374.12,374.12
2002,4,2002.292,375.02,375.02
2002,5,2002.375,375.76,375.76
2002,6,2002.458,375.52,375.52
2002,7,2002.542,374.01,374.01
2002,8,2002.625,371.85,371.85
2002,9,2002.708,370.75,370.75
2002,10,2002.792,370.55,370.55
2002,11,2002.875,372.25,372.25
2002,12,2002.958,373.79,373.79
2003,1,2003.042,374.88,374.88
2003,2,2003.125,375.64,375.64
2003,3,2003.208,376.45,376.45
2003,4,2003.292,377.73,377.73
2003,5,2003.375,378.60,378.60
2003,6,2003.458,378.28,378.28
2003,7,2003.542,376.70,376.70
2003,8,2003.625,374.38,374.38
2003,9,2003.708,373.17,373.17
2003,10,2003.792,373.15,373.15
2003,11,2003.875,374.66,374.66
2003,12,2003.958,375.99,375.99
2004,1,2004.042,377.00,377.00
2004,2,2004.125,377.87,377.87
2004,3,2004.208,378.88,378.88
2004,4,2004.292,380.35,380.35
2004,5,2004.375,380.62,380.62
2004,6,2004.458,379.69,379.69
2004,7,2004.542,377.47,377.47
2004,8,2004.625,376.01,376.01
2004,9,2004.708,374.25,374.25
2004,10,2004.792,374.46,374.46
2004,11,2004.875,376.16,376.16
2004,12,2004.958,377.51,377.51
2005,1,2005.042,378.46,378.46
2005,2,2005.125,379.73,379.73
2005,3,2005.208,380.77,380.77
2005,4,2005.292,382.29,382.29
2005,5,2005.375,382.45,382.45
2005,6,2005.458,382.21,382.21
2005,7,2005.542,380.74,380.74
2005,8,2005.625,378.74,378.74
2005,9,2005.708,376.70,376.70
2005,10,2005.792,377.00,377.00
2005,11,2005.875,378.35,378.35
2005,12,2005.958,380.11,380.11
2006,1,2006.042,381.38,381.38
2006,2,2006.125,382.19,382.19
2006,3,2006.208,382.67,382.67
2006,4,2006.292,384.61,384.61
2006,5,2006.375,385.03,385.03
2006,6,2006.458,384.05,384.05
2006,7,2006.542,382.46,382.46
2006,8,2006.625,380.41,380.41
2006,9,2006.708,378.85,378.85
2006,10,2006.792,379.13,379.13
2006,11,2006.875,380.15,380.15
2006,12,2006.958,381.82,381.82
2007,1,2007.042,382.89,382.89
2007,2,2007.125,383.90,383.90
2007,3,2007.208,384.58,384.58
2007,4,2007.292,386.50,386.50
2007,5,2007.375,386.56,386.56
2007,6,2007.458,386.10,386.10
2007,7,2007.542,384.50,384.50
2007,8,2007.625,381.99,381.99
2007,9,2007.708,380.96,380.96
2007,10,2007.792,381.12,381.12
2007,11,2007.875,382.45,382.45
2007,12,2007.958,383.95,383.95
2008,1,2008.042,385.52,385.52
2008,2,2008.125,385.82,385.82
2008,3,2008.208,386.03,386.03
2008,4,2008.292,387.21,387.21
2008,5,2008.375,388.54,388.54
2008,6,2008.458,387.76,387.76
2008,7,2008.542,386.36,386.36
2008,8,2008.625,384.09,384.09
2008,9,2008.708,383.18,383.18
2008,10,2008.792,382.99,382.99
2008,11,2008.875,384.19,384.19
2008,12,2008.958,385.56,385.56
2009,1,2009.042,386.94,386.94
2009,2,2009.125,387.48,387.48
2009,3,2009.208,388.82,388.82
2009,4,2009.292,389.55,389.55
2009,5,2009.375,390.14,390.14
2009,6,2009.458,389.48,389.48
2009,7,2009.542,388.03,388.03
2009,8,2009.625,386.11,386.11
2009,9,2009.708,384.74,384.74
2009,10,2009.792,384.43,384.43
2009,11,2009.875,386.02,386.02
2009,12,2009.958,387.42,387.42
2010,1,2010.042,388.71,388.71
2010,2,2010.125,390.20,390.20
2010,3,2010.208,391.17,391.17
2010,4,2010.292,392.46,392.46
2010,5,2010.375,393.00,393.00
2010,6,2010.458,392.15,392.15
2010,7,2010.542,390.20,390.20
2010,8,2010.625,388.35,388.35
2010,9,2010.708,386.85,386.85
2010,10,2010.792,387.24,387.24
2010,11,2010.875,388.67,388.67
2010,12,2010.958,389.79,389.79
2011,1,2011.042,391.33,391.33
2011,2,2011.125,391.86,391.86
2011,3,2011.208,392.60,392.60
2011,4,2011.292,393.25,393.25
2011,5,2011.375,394.19,394.19
2011,6,2011.458,393.74,393.74
2011,7,2011.542,392.51,392.51
2011,8,2011.625,390.13,390.13
2011,9,2011.708,389.08,389.08
2011,10,2011.792,389.00,389.00
2011,11,2011.875,390.28,390.28
2011,12,2011.958,391.86,391.86
2012,1,2012.042,393.12,393.12
2012,2,2012.125,393.86,393.86
2012,3,2012.208,394.40,394.40
2012,4,2012.292,396.18,396.18
2012,5,2012.375,396.74,396.74
2012,6,2012.458,395.71,395.71
2012,7,2012.542,394.36,394.36
2012,8,2012.625,392.39,392.39
2012,9,2012.708,391.11,391.11
2012,10,2012.792,391.05,391.05
2012,11,2012.875,392.98,392.98
2012,12,2012.958,394.34,394.34
2013,1,2013.042,395.55,395.55
2013,2,2013.125,396.80,396.80
2013,3,2013.208,397.43,397.43
2013,4,2013.292,398.41,398.41
2013,5,2013.375,399.78,399.78
2013,6,2013.458,398.61,398.61
2013,7,2013.542,397.32,397.32
2013,8,2013.625,395.20,395.20
2013,9,2013.708,393.45,393.45
2013,10,2013.792,393.70,393.70
2013,11,2013.875,395.16,395.16
2013,12,2013.958,396.84,396.84
2014,1,2014.042,397.85,397.85
2014,2,2014.125,398.01,398.01
2014,3,2014.208,399.77,399.77
2014,4,2014.292,401.38,401.38
2014,5,2014.375,401.78,401.78
2014,6,2014.458,401.25,401.25
2014,7,2014.542,399.10,399.10
2014,8,2014.625,397.03,397.03
2014,9,2014.708,395.38,395.38
2014,10,2014.792,396.03,396.03
2014,11,2014.875,397.28,397.28
2014,12,2014.958,398.91,398.91
2015,1,2015.042,399.98,399.98
2015,2,2015.125,400.28,400.28
2015,3,2015.208,401.54,401.54
2015,4,2015.292,403.28,403.28
2015,5,2015.375,403.96,403.96
2015,6,2015.458,402.80,402.80
2015,7,2015.542,401.31,401.31
2015,8,2015.625,398.93,398.93
2015,9,2015.708,397.63,397.63
2015,10,2015.792,398.29,398.29
2015,11,2015.875,400.16,400.16
2015,12,2015.958,401.85,401.85
2016,1,2016.042,402.56,402.56
2016,2,2016.125,404.12,404.12
2016,3,2016.208,404.87,404.87
2016,4,2016.292,407.45,407.45
2016,5,2016.375,407.72,407.72
2016,6,2016.458,406.83,406.83
2016,7,2016.542,404.41,404.41
2016,8,2016.625,402.27,402.27
2016,9,2016.708,401.05,401.05
2016,10,2016.792,401.59,401.59
2016,11,2016.875,403.55,403.55
2016,12,2016.958,404.45,404.45
2017,1,2017.042,406.17,406.17
2017,2,2017.125,406.46,406.46
2017,3,2017.208,407.22,407.22
2017,4,2017.292,409.04,409.04
2017,5,2017.375,409.69,409.69
2017,6,2017.458,408.88,408.88
2017,7,2017.542,407.12,407.12
2017,8,2017.625,405.13,405.13
2017,9,2017.708,403.37,403.37
2017,10,2017.792,403.63,403.63
2017,11,2017.875,405.12,405.12
2017,12,2017.958,406.81,406.81
2018,1,2018.042,407.96,407.96
2018,2,2018.125,408.32,408.32
2018,3,2018.208,409.41,409.41
2018,4,2018.292,410.24,410.24
2018,5,2018.375,411.24,411.24
2018,6,2018.458,410.79,410.79
2018,7,2018.542,408.71,408.71
2018,8,2018.625,406.99,406.99
2018,9,2018.708,405.51,405.51
2018,10,2018.792,406.00,406.00
2018,11,2018.875,408.02,408.02
